student_id,group,school,grammar_pre,grammar_post,grammar_delayed,vocab_pre,vocab_post,vocab_delayed,cards_reviewed,review_regularity,mcq_accuracy,maps_completed,time_on_task_min,usability,engagement,usefulness,bilingual_design
S001,Experimental,Allal,27.8,45.1,46.5,21.8,30.4,27.6,189.0,0.9,0.725,10.0,404.0,4.13,4.68,4.43,3.97
S002,Experimental,Allal,28.2,42.3,40.2,22.2,32.6,27.7,192.0,0.845,0.773,9.0,367.0,4.31,4.26,5.0,4.2
S003,Experimental,Allal,22.9,39.1,36.8,23.1,31.7,30.9,171.0,0.688,0.837,4.0,272.0,4.16,4.13,4.64,4.51
S004,Experimental,Allal,30.1,46.1,46.5,28.4,39.7,38.1,168.0,0.829,0.955,5.0,398.0,3.26,3.8,4.28,4.69
S005,Experimental,Allal,30.3,39.8,35.6,32.8,41.8,41.8,81.0,0.248,0.802,3.0,180.0,3.89,4.1,4.51,4.25
S006,Experimental,Allal,28.7,38.5,38.4,24.0,35.1,33.5,97.0,0.354,0.796,4.0,158.0,3.89,3.95,3.36,3.68
S007,Experimental,Allal,18.1,30.0,28.2,22.0,38.6,36.8,239.0,0.861,0.793,5.0,334.0,4.52,2.96,4.42,4.52
S008,Experimental,Allal,22.4,34.8,31.9,19.3,31.5,25.8,180.0,0.749,0.821,8.0,416.0,4.52,4.21,4.93,3.81
S009,Experimental,Allal,22.2,31.3,27.5,22.4,33.3,33.7,134.0,0.732,0.874,10.0,450.0,4.31,3.41,3.13,4.53
S010,Experimental,Allal,21.1,33.3,28.7,25.5,37.0,34.8,121.0,0.473,0.732,5.0,340.0,4.17,4.59,3.95,3.81
S011,Experimental,Allal,20.2,30.1,25.9,23.6,31.7,27.4,150.0,0.547,0.772,4.0,259.0,3.87,3.26,3.56,4.49
S012,Experimental,Allal,35.5,50.9,45.8,29.0,42.2,40.6,252.0,0.96,0.966,8.0,265.0,3.42,4.99,5.0,4.31
S013,Experimental,Allal,23.7,42.4,41.7,36.8,51.3,49.5,203.0,0.899,0.845,12.0,358.0,4.42,2.77,4.18,3.98
S014,Experimental,Allal,18.7,35.6,35.8,22.7,35.1,33.6,182.0,0.943,0.86,11.0,325.0,3.75,3.87,4.32,4.49
S015,Experimental,Allal,19.5,39.6,33.4,28.5,37.0,35.0,107.0,0.546,0.811,7.0,215.0,3.77,2.71,4.12,3.87
S016,Experimental,Allal,22.8,31.1,31.5,22.7,40.9,41.0,138.0,0.903,1.0,4.0,279.0,4.27,5.0,3.71,4.28
S017,Experimental,Allal,30.7,42.3,42.5,30.6,40.4,38.4,135.0,0.455,0.817,6.0,225.0,4.28,4.03,4.2,4.04
S018,Experimental,Allal,27.9,44.5,41.2,27.4,35.5,35.2,150.0,0.496,0.815,2.0,247.0,4.33,3.33,3.96,4.53
S019,Experimental,Allal,26.3,36.9,34.1,26.2,40.6,43.3,106.0,0.408,0.789,3.0,130.0,4.26,5.0,3.43,4.83
S020,Experimental,Allal,24.0,36.7,31.6,27.6,41.3,35.3,221.0,0.815,0.972,8.0,361.0,3.95,4.04,3.85,4.89
S021,Experimental,Allal,18.9,33.6,28.7,32.7,47.5,41.3,232.0,0.777,0.804,5.0,311.0,4.86,4.38,3.85,3.89
S022,Experimental,Allal,26.2,38.3,33.5,20.7,32.4,34.4,110.0,0.372,0.798,5.0,116.0,3.8,4.35,3.41,5.0
S023,Experimental,Allal,28.2,44.7,40.1,33.1,46.0,43.0,201.0,0.773,0.789,7.0,355.0,4.6,3.36,4.14,5.0
S024,Experimental,Allal,21.5,38.1,35.6,23.1,39.3,35.1,224.0,0.891,1.0,7.0,195.0,4.9,3.73,4.25,5.0
S025,Experimental,Allal,16.4,26.7,23.4,20.5,33.2,30.1,112.0,0.436,0.788,5.0,281.0,4.45,4.08,4.58,4.51
S026,Experimental,Allal,29.2,41.2,37.0,23.8,32.6,29.0,107.0,0.391,0.843,1.0,146.0,3.36,2.6,3.86,4.77
S027,Experimental,Allal,24.3,42.0,39.6,29.2,45.2,42.5,152.0,0.741,0.651,5.0,289.0,4.5,5.0,3.51,4.6
S028,Experimental,Allal,19.8,28.8,24.4,30.8,41.6,40.2,161.0,0.867,0.855,7.0,378.0,4.28,4.79,4.03,3.66
S029,Experimental,Allal,32.4,48.3,46.1,26.0,39.8,33.4,302.0,0.964,0.832,11.0,301.0,4.27,3.98,4.36,3.98
S030,Experimental,Allal,16.5,27.2,25.3,15.6,32.0,27.3,111.0,0.55,0.731,4.0,234.0,4.41,3.8,4.73,3.83
S031,Control,Allal,26.0,29.7,22.1,43.6,46.9,41.4,,,,,,,,,
S032,Control,Allal,25.7,26.3,21.2,27.0,27.4,21.8,,,,,,,,,
S033,Control,Allal,32.5,34.7,29.5,30.2,32.3,25.9,,,,,,,,,
S034,Control,Allal,15.0,12.0,11.8,26.0,33.1,26.8,,,,,,,,,
S035,Control,Allal,21.7,15.8,13.1,19.0,29.2,24.2,,,,,,,,,
S036,Control,Allal,22.6,21.0,17.7,30.8,34.1,30.3,,,,,,,,,
S037,Control,Allal,30.7,35.7,33.5,30.1,35.8,27.7,,,,,,,,,
S038,Control,Allal,20.2,27.2,23.7,22.7,29.9,27.0,,,,,,,,,
S039,Control,Allal,34.7,38.5,30.6,28.8,30.7,29.1,,,,,,,,,
S040,Control,Allal,23.3,21.6,16.0,30.7,32.1,25.2,,,,,,,,,
S041,Control,Allal,11.6,9.6,7.6,23.3,27.0,23.5,,,,,,,,,
S042,Control,Allal,24.5,28.1,26.6,27.0,32.2,26.5,,,,,,,,,
S043,Control,Allal,28.3,32.2,23.1,31.3,34.1,30.8,,,,,,,,,
S044,Control,Allal,21.5,20.7,19.0,21.8,24.6,19.8,,,,,,,,,
S045,Control,Allal,26.3,32.0,26.2,23.4,25.9,23.6,,,,,,,,,
S046,Control,Allal,29.3,27.9,24.1,29.1,32.9,31.2,,,,,,,,,
S047,Control,Allal,27.1,34.1,27.0,19.3,21.5,16.6,,,,,,,,,
S048,Control,Allal,11.5,13.7,12.3,21.1,26.2,17.2,,,,,,,,,
S049,Control,Allal,18.9,22.6,14.6,23.0,22.3,17.7,,,,,,,,,
S050,Control,Allal,36.9,36.1,33.1,18.1,19.5,13.5,,,,,,,,,
S051,Control,Allal,27.4,32.0,29.4,17.4,24.2,21.7,,,,,,,,,
S052,Control,Allal,22.2,27.5,22.3,31.2,29.2,23.8,,,,,,,,,
S053,Control,Allal,19.8,18.5,13.4,29.4,30.0,29.2,,,,,,,,,
S054,Control,Allal,30.3,31.4,23.8,29.4,31.1,27.0,,,,,,,,,
S055,Control,Allal,27.6,32.0,29.4,24.3,26.0,18.6,,,,,,,,,
S056,Control,Allal,19.8,27.6,17.2,13.5,15.3,16.1,,,,,,,,,
S057,Control,Allal,24.1,26.6,25.4,26.3,31.0,25.7,,,,,,,,,
S058,Control,Allal,17.0,26.2,21.8,32.2,34.2,30.5,,,,,,,,,
S059,Control,Allal,29.7,33.2,30.2,17.6,26.2,22.6,,,,,,,,,
S060,Control,Allal,36.0,40.8,36.0,21.4,21.8,17.3,,,,,,,,,
S061,Experimental,ElBayadh_Public,31.3,46.1,45.4,24.1,35.9,33.6,140.0,0.842,0.865,7.0,171.0,4.49,4.16,3.84,3.74
S062,Experimental,ElBayadh_Public,29.0,44.6,41.3,28.1,41.8,39.7,237.0,0.962,0.936,6.0,320.0,3.86,4.47,4.95,4.17
S063,Experimental,ElBayadh_Public,21.5,36.9,38.9,27.9,36.4,35.5,85.0,0.526,0.689,5.0,306.0,3.98,3.38,4.17,4.92
S064,Experimental,ElBayadh_Public,18.1,29.5,25.8,20.5,31.1,27.1,108.0,0.51,0.75,3.0,159.0,4.44,3.79,3.69,4.35
S065,Experimental,ElBayadh_Public,30.8,40.8,35.4,12.3,24.3,20.3,121.0,0.546,0.828,6.0,291.0,4.01,4.17,4.28,4.79
S066,Experimental,ElBayadh_Public,28.8,45.3,40.4,16.3,24.9,26.1,175.0,0.809,0.973,8.0,273.0,3.65,4.01,4.05,3.89
S067,Experimental,ElBayadh_Public,36.3,45.8,41.6,36.7,49.4,46.0,170.0,0.604,0.849,6.0,252.0,3.21,4.05,3.92,3.76
S068,Experimental,ElBayadh_Public,34.1,47.0,41.8,36.4,47.0,44.1,108.0,0.554,0.778,3.0,224.0,4.06,5.0,4.65,4.41
S069,Experimental,ElBayadh_Public,25.5,35.3,33.1,26.3,35.4,35.4,177.0,0.707,0.609,6.0,329.0,4.63,4.62,4.22,3.98
S070,Experimental,ElBayadh_Public,17.5,35.0,30.3,28.1,39.5,39.5,168.0,0.792,0.777,5.0,323.0,3.85,3.62,4.36,4.2
S071,Experimental,ElBayadh_Public,25.5,38.9,33.5,27.6,37.0,38.8,133.0,0.975,0.82,8.0,465.0,2.76,4.24,4.98,3.84
S072,Experimental,ElBayadh_Public,21.7,34.9,29.5,21.5,39.3,37.5,268.0,0.862,0.981,7.0,343.0,4.28,5.0,4.63,4.05
S073,Experimental,ElBayadh_Public,29.8,45.3,42.7,23.8,35.8,33.3,162.0,0.661,0.589,7.0,211.0,3.38,3.96,4.24,4.05
S074,Experimental,ElBayadh_Public,29.0,40.2,37.8,17.9,30.1,29.6,181.0,0.67,0.597,2.0,272.0,3.99,3.94,4.19,4.51
S075,Experimental,ElBayadh_Public,29.7,41.2,38.1,19.3,35.9,34.3,105.0,0.831,0.733,7.0,337.0,4.12,3.81,4.72,4.06
S076,Experimental,ElBayadh_Public,18.8,32.4,29.6,28.9,39.2,33.6,125.0,0.725,0.753,3.0,242.0,3.56,3.55,4.4,4.68
S077,Experimental,ElBayadh_Public,20.3,39.0,35.4,31.9,48.5,49.8,188.0,0.827,0.822,6.0,334.0,5.0,3.9,4.41,4.28
S078,Experimental,ElBayadh_Public,24.5,42.7,37.0,26.0,39.8,36.1,163.0,0.96,0.911,11.0,385.0,4.54,4.29,4.8,4.54
S079,Experimental,ElBayadh_Public,21.9,38.0,42.8,28.0,35.8,32.4,239.0,0.899,0.748,13.0,339.0,5.0,4.0,4.4,5.0
S080,Experimental,ElBayadh_Public,24.8,38.2,38.4,20.0,31.0,29.9,205.0,0.75,0.766,6.0,312.0,4.41,3.4,3.68,4.95
S081,Experimental,ElBayadh_Public,21.5,35.7,36.3,17.5,29.3,25.4,164.0,0.682,0.643,6.0,246.0,3.86,4.52,4.94,5.0
